x,y,z
-0.175,5.723,-6.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.181,5.726,-6.000
-0.181,5.726,-7.000
2.090,6.195,-6.000
-0.176,5.722,-7.000
-0.175,5.723,-7.000
-0.178,5.724,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.176,5.722,-7.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.177,5.724,-6.000
-0.181,5.726,-7.000
-0.177,5.721,-7.000
-0.176,5.722,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.176,5.722,-7.000
1.684,6.659,-6.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.176,5.722,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.181,5.726,-7.000
-0.175,5.723,-6.000
-0.176,5.722,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.181,5.726,-7.000
-0.175,5.723,-6.000
1.683,6.660,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
1.684,6.659,-6.000
-0.175,5.723,-7.000
-0.181,5.726,-7.000
-0.175,5.723,-7.000
-0.178,5.724,-6.000
-0.175,5.723,-6.000
1.688,6.658,-6.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.176,5.721,-10.000
-0.177,5.723,-10.000
-0.181,5.726,-10.000
-0.180,5.723,-9.000
-0.175,5.723,-10.000
-0.181,5.726,-10.000
-0.175,5.723,-10.000
-0.181,5.726,-10.000
-0.175,5.723,-10.000
3.072,2.803,-10.000
-0.178,5.724,-9.000
-0.182,5.718,-10.000
-0.175,5.723,-10.000
-0.177,5.720,-9.000
3.065,2.774,-10.000
3.063,2.790,-10.000
-0.178,5.724,-9.000
-0.181,5.726,-10.000
3.063,2.791,-10.000
-0.172,5.726,-10.000
-0.173,5.725,-10.000
-0.181,5.726,-9.000
-0.176,5.721,-10.000
-0.181,5.725,-10.000
-0.178,5.724,-9.000
-0.181,5.726,-9.000
-0.182,5.718,-10.000
-0.176,5.721,-10.000
-0.180,5.723,-9.000
-0.181,5.726,-10.000
-0.175,5.723,-10.000
-0.175,5.723,-10.000
-0.178,5.724,-9.000
-0.176,5.721,-10.000
-0.176,5.721,-10.000
-0.017,5.728,-10.000
3.062,2.792,-10.000
-0.176,5.722,-10.000
-0.175,5.723,-10.000
-0.182,5.718,-10.000
-0.181,5.726,-10.000
-0.175,5.723,-10.000
-0.181,5.726,-10.000
-0.175,5.723,-10.000
-0.180,5.723,-9.000
-0.175,5.723,-10.000
-0.170,5.726,-10.000
-0.181,5.726,-9.000
-0.175,5.723,-9.000
-0.181,5.726,-10.000
3.063,2.790,-10.000
3.063,2.791,-10.000
3.063,2.791,-10.000
-0.178,5.724,-9.000
3.066,2.789,-10.000
-0.178,5.724,-9.000
-0.189,5.728,-10.000
-0.181,5.726,-8.000
-0.175,5.723,-10.000
-0.188,5.728,-10.000
-0.181,5.726,-10.000
-0.181,5.726,-9.000
-0.175,5.723,-10.000
3.066,2.789,-10.000
3.077,2.816,-10.000
3.065,2.774,-10.000
3.066,2.789,-10.000
-0.051,5.714,-10.000
-0.175,5.723,-9.000
0.003,5.731,-10.000
-0.181,5.726,-10.000
-0.181,5.726,-10.000
-0.175,5.723,-10.000
3.066,2.794,-10.000
3.063,2.791,-10.000
-0.175,5.721,-10.000
3.066,2.793,-10.000
-0.181,5.726,-9.000
3.066,2.793,-10.000
3.063,2.790,-10.000
-0.181,5.726,-9.000
-0.181,5.726,-10.000
-0.188,5.728,-10.000
-0.181,5.726,-10.000
-0.182,5.718,-10.000
-0.181,5.726,-10.000
0.003,5.731,-10.000
3.066,2.794,-10.000
-0.175,5.723,-10.000
-0.173,5.725,-10.000
-0.178,5.724,-9.000
-0.181,5.726,-9.000
-0.175,5.723,-10.000
-0.175,5.723,-9.000
-0.177,5.726,-10.000
-0.188,5.728,-10.000
-0.181,5.726,-10.000
-0.176,5.720,-10.000
-0.181,5.726,-8.000
3.062,2.792,-8.000
-0.173,5.725,-10.000
